epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2664.88,1.04582,0.8429,1.10681,0.74974,0.64589,0.70094,0.44937,1.1971,1.06402,1.14152,0.00109,0.00109,0.00109
92,2693.43,1.03356,0.8361,1.10676,0.71317,0.69376,0.69899,0.4606,1.19815,1.02073,1.14255,0.000991,0.000991,0.000991
93,2721.66,1.06045,0.83231,1.10946,0.69183,0.68234,0.63991,0.42223,1.18581,1.03329,1.13517,0.000892,0.000892,0.000892
94,2749.75,1.02555,0.82316,1.08605,0.65229,0.68023,0.6241,0.41785,1.17717,1.04144,1.12923,0.000793,0.000793,0.000793
95,2776.25,1.01396,0.81318,1.0832,0.70172,0.6916,0.64586,0.43414,1.17525,1.01271,1.12252,0.000694,0.000694,0.000694
96,2804.28,1.02637,0.78623,1.094,0.73738,0.66938,0.65533,0.4368,1.16484,1.0119,1.11749,0.000595,0.000595,0.000595
97,2832.58,1.03004,0.79833,1.07346,0.72841,0.66762,0.66348,0.44302,1.16406,0.98543,1.11601,0.000496,0.000496,0.000496
98,2861.03,1.03115,0.82384,1.08562,0.73246,0.6826,0.67168,0.44508,1.18262,0.99375,1.12786,0.000397,0.000397,0.000397
99,2889.07,0.99126,0.78498,1.06961,0.74968,0.67079,0.69647,0.45715,1.16262,0.98027,1.11257,0.000298,0.000298,0.000298
100,2914.06,0.91508,0.74607,1.01093,0.77132,0.66846,0.70631,0.46981,1.16891,0.96073,1.12496,0.000199,0.000199,0.000199
